new_municipality,AED_number,points_coordinates
"heestert, belgium",1,"(3.410366, 50.7826441)"
"krombeke, belgium",1,"(2.6885943, 50.9148551)"
"dadizele, belgium",1,"(3.0944555, 50.8516407)"
"wijtschate, belgium",1,"(2.8831131, 50.7858578)"
"langemark, belgium",1,"(2.920005, 50.9135965)"
"woumen, belgium",1,"(2.8697759, 50.9983803)"
"zande, belgium",1,"(2.9222322, 51.1200517)"
"bavikhove, belgium",1,"(3.3113239, 50.8753952)"
"avekapelle, belgium",1,"(2.7329511, 51.0663475)"
"lombardsijde, belgium",1,"(2.7565537, 51.1478198)"
"adinkerke, belgium",1,"(2.6034114, 51.0751267)"
"lo-reninge, belgium",1,"(2.7488442, 50.9806865)"
"brugge/sint-kruis, belgium",1,"(3.2512976, 51.21429699999999)"
"kanegem, belgium",1,"(3.4033279, 51.0134353)"
"varsenare, belgium",1,"(3.1421014, 51.1891579)"
"kerkhove, belgium",1,"(3.5006455, 50.7983592)"
"hertsberge, belgium",1,"(3.2730671, 51.1053969)"
"passendale, belgium",1,"(3.0207328, 50.9002575)"
"ploegsteert, belgium",1,"(2.8806048, 50.72655349999999)"
"poelkapelle, belgium",1,"(2.9565978, 50.9176532)"
"roesbrugge-haringe, belgium",1,"(2.6247955, 50.918879)"
"nieuwkerke, belgium",1,"(2.8252871, 50.7460655)"
"rollegem, belgium",1,"(3.2634359, 50.7659873)"
"lendelede, belgium",1,"(3.2383076, 50.886291)"
"mokker, belgium",1,"(2.94081, 51.08586)"
"sint-denijs, belgium",1,"(3.3653137, 50.7530651)"
"moeskroen, belgium",1,"(3.2138924, 50.7430519)"
"moerbrugge, belgium",1,"(3.26291, 51.16219)"
"snaaskerke, belgium",1,"(2.939082, 51.1775854)"
"otegem, belgium",1,"(3.423881, 50.8081238)"
"zwevezele, belgium",1,"(3.21047, 51.03608999999999)"
