new_municipality,cardiac_arrests_number,points_coordinates
"ruisbroek, belgium",2,"(4.33107, 51.08799)"
"boom, belgium",2,"(4.3649456, 51.08979679999999)"
"hulst, belgium",2,"(5.12949, 51.07198)"
"hulshout, belgium",2,"(4.7888868, 51.0755943)"
"velm, belgium",2,"(5.13162, 50.77931)"
"vlijtingen, belgium",2,"(5.5842906, 50.8320854)"
"leut, belgium",2,"(5.7350908, 50.9900244)"
"vosselaar, belgium",2,"(4.8882048, 51.3130992)"
"heindonk, belgium",2,"(4.40756, 51.0673)"
"balen, belgium",2,"(5.167686499999999, 51.17041469999999)"
"gruitrode, belgium",2,"(5.58969, 51.08999)"
"wijchmaal, belgium",2,"(5.41311, 51.13556)"
"wijshagen, belgium",2,"(5.558809999999999, 51.10461)"
"herselt, belgium",2,"(4.8807744, 51.0523235)"
"wintershoven, belgium",2,"(5.41968, 50.85263)"
"batsheers, belgium",2,"(5.28134, 50.73855)"
"wuustwezel, belgium",2,"(4.5907442, 51.3892386)"
"halle, belgium",2,"(4.2337053, 50.7381601)"
"zepperen, belgium",2,"(5.247669999999999, 50.82116)"
"romershoven, belgium",2,"(5.4598837, 50.855984)"
"kinrooi, belgium",2,"(5.7417872, 51.145607)"
"rijkevorsel, belgium",2,"(4.7604695, 51.3493012)"
"rijkel, belgium",2,"(5.26083, 50.80989)"
"dessel, belgium",2,"(5.112964799999999, 51.2392534)"
"gors-opleeuw, belgium",2,"(5.396711799999999, 50.8233766)"
"kortenaken, belgium",2,"(5.0600315, 50.9091318)"
"mortsel, belgium",2,"(4.4492707, 51.1708718)"
"kuringen, belgium",2,"(5.29789, 50.94387)"
"gierle, belgium",2,"(4.8677063, 51.2671512)"
"moelingen, belgium",2,"(5.713497299999999, 50.7570096)"
"geel, belgium",2,"(4.9907929, 51.1626132)"
"engsbergen, belgium",2,"(5.03716, 51.0297)"
"meerle, belgium",2,"(4.803769, 51.4733516)"
"meerhout, belgium",2,"(5.0770596, 51.132046)"
"donk, belgium",2,"(5.11072, 51.21773)"
