new_municipality,cardiac_arrests_number,points_coordinates
"erneuville, belgium",2,"(5.5493302, 50.1128285)"
"anloy, belgium",2,"(5.221725999999999, 49.9494863)"
"izel, belgium",2,"(5.3722119, 49.6937299)"
"gosselies, belgium",2,"(4.431955900000001, 50.4687201)"
"jambes, belgium",2,"(4.871861399999999, 50.4563491)"
"heinsch, belgium",2,"(5.7464653, 49.6995172)"
"ecaussinnes-d'enghien, belgium",2,"(4.1538788, 50.5608812)"
"froyennes, belgium",2,"(3.3471214, 50.6229047)"
"ebly, belgium",2,"(5.5404417, 49.8531341)"
"gèrompont, belgium",2,"(4.88169, 50.64847)"
"limerlè, belgium",2,"(5.9243825, 50.1572636)"
"dison, belgium",2,"(5.8540016, 50.6099463)"
"ethe, belgium",2,"(5.5819087, 49.5796692)"
"hamipre, belgium",2,"(5.45735, 49.83749)"
"maffe, belgium",2,"(5.3114, 50.35351)"
"malempre, belgium",2,"(5.712429999999999, 50.28173)"
"ham-sur-sambre, belgium",2,"(4.6735065, 50.4426813)"
"haine-saint-pierre, belgium",2,"(4.1996, 50.45413)"
"dinant, belgium",2,"(4.9122308, 50.2607382)"
"forrieres, belgium",2,"(5.2807925, 50.1338181)"
"grandvoir, belgium",2,"(5.37272, 49.85834999999999)"
"grupont, belgium",1,"(5.2801805, 50.0917339)"
"signeulx, belgium",1,"(5.63805, 49.55222999999999)"
"cobreville, belgium",1,"(5.61002, 49.9147)"
"bihain, belgium",1,"(5.808717, 50.2380618)"
"fauvillers, belgium",1,"(5.6620979, 49.8515536)"
"awans, belgium",1,"(5.462117699999999, 50.6833442)"
"fra-herserange, belgium",1,"(5.7961147, 49.5230183)"
"wasmuel, belgium",1,"(3.8453838, 50.4456324)"
"fra-bazeilles-sur-othain, belgium",1,"(5.429583, 49.49687)"
"eupen, belgium",1,"(6.030266399999999, 50.63211039999999)"
"bois-et-borsu, belgium",1,"(5.3227509, 50.389298)"
"bioul, belgium",1,"(4.7961, 50.33112)"
"hallonru, belgium",1,"(5.1335125, 50.400501)"
"comblain-au-pont, belgium",1,"(5.5760386, 50.4756002)"
"cherain, belgium",1,"(5.8653043, 50.1805372)"
"flemalle-grande, belgium",1,"(5.476515699999999, 50.6087724)"
"musson, belgium",1,"(5.705545, 49.5588554)"
"louvain-la-neuve, belgium",1,"(4.6118324, 50.66808100000001)"
"chatelet, belgium",1,"(4.5181885, 50.4039515)"
"louette-saint-pierre, belgium",1,"(4.92748, 49.96053999999999)"
"liege, belgium",1,"(5.569749799999999, 50.63295859999999)"
"durbuy, belgium",1,"(5.457099400000001, 50.3526585)"
"lavacherie, belgium",1,"(5.5100095, 50.05286539999999)"
"jemelle, belgium",1,"(5.26623, 50.16249999999999)"
"erezèe, belgium",1,"(5.5583556, 50.2922745)"
"izier, belgium",1,"(5.5795356, 50.383803)"
"rongy, belgium",1,"(3.3911678, 50.5084038)"
"etalle, belgium",1,"(5.600236799999999, 49.6738918)"
"herlinval, belgium",1,"(5.638949999999999, 50.11453)"
"mont, belgium",1,"(3.952313499999999, 50.45466340000001)"
"bohan, belgium",1,"(4.8853198, 49.8635093)"
"havre, belgium",1,"(4.0453246, 50.4639119)"
"fleurus, belgium",1,"(4.550135399999999, 50.4831209)"
