new_municipality,cardiac_arrests_number,points_coordinates
"blaregnies, belgium",3,"(3.89704, 50.35715)"
"harmignies, belgium",3,"(4.0174614, 50.4060459)"
"estinnes-au-mont, belgium",3,"(4.096229999999999, 50.39652)"
"bouffioulx, belgium",3,"(4.51635, 50.39071999999999)"
"clermont, belgium",3,"(5.884551399999999, 50.6590232)"
"leers-nord, belgium",3,"(3.2718413, 50.6876942)"
"saint-servais, belgium",3,"(4.8344548, 50.4766054)"
"havre, belgium",3,"(4.0453246, 50.4639119)"
"celles, belgium",3,"(3.4581754, 50.7128662)"
"vaulx, belgium",3,"(3.4334752, 50.5903852)"
"chimay, belgium",3,"(4.3146556, 50.0476421)"
"nalinnes, belgium",3,"(4.4465124, 50.3241156)"
"paturages, belgium",3,"(3.8383261, 50.4048263)"
"frameries, belgium",3,"(3.8934891, 50.4069902)"
"froyennes, belgium",3,"(3.3471214, 50.6229047)"
"godarville, belgium",3,"(4.288419999999999, 50.49626)"
"warneton, belgium",3,"(2.9488295, 50.7527699)"
"rebaix, belgium",2,"(3.7835209, 50.6604453)"
"ressaix, belgium",2,"(4.19475, 50.42187999999999)"
"nimy, belgium",2,"(3.9552523, 50.4765848)"
"nèchin, belgium",2,"(3.2690718, 50.6670101)"
"ogy, belgium",2,"(3.7806795, 50.7207024)"
"chaussee-notre-dame-louvignies, belgium",2,"(3.9983062, 50.5927405)"
"ollignies, belgium",2,"(3.8591532, 50.6846628)"
"rance, belgium",2,"(4.2777573, 50.1421122)"
"orroir, belgium",2,"(3.4794562, 50.74864299999999)"
"quièvrain, belgium",2,"(3.683004999999999, 50.4076136)"
"quevy-le-petit, belgium",2,"(3.93351, 50.36854)"
"oupeye, belgium",2,"(5.6439897, 50.7093251)"
"presles, belgium",2,"(4.57866, 50.38391)"
"pecq, belgium",2,"(3.3386795, 50.6854518)"
"buissenal, belgium",2,"(3.655713499999999, 50.6642045)"
"boussu-lez-walcourt, belgium",2,"(4.3780579, 50.22786139999999)"
"saint-amand, belgium",2,"(4.54986, 50.50637)"
"vloesberg, belgium",2,"(3.7377447, 50.7371948)"
"vedrin, belgium",2,"(4.876087699999999, 50.5022173)"
"velaine-sur-sambre, belgium",2,"(4.61402, 50.4674)"
"ville-sur-haine, belgium",2,"(4.069129999999999, 50.47529)"
"villers-perwin, belgium",2,"(4.4780447, 50.5262517)"
"villers-poterie, belgium",2,"(4.549049999999999, 50.35363)"
"arbre, belgium",2,"(4.82126, 50.36612)"
"wanfercee-baulet, belgium",2,"(4.587829999999999, 50.47273999999999)"
"saint-denis, belgium",2,"(4.0192594, 50.4910335)"
"wangenies, belgium",2,"(4.51986, 50.47957)"
"warchin, belgium",2,"(3.4233289, 50.6103448)"
"anvaing, belgium",2,"(3.5610313, 50.68276669999999)"
"wervik, belgium",2,"(3.0449082, 50.7840561)"
"wez-velvain, belgium",2,"(3.389033, 50.5477881)"
"trivieres, belgium",2,"(4.14802, 50.45041)"
"bas-warneton, belgium",2,"(2.9610169, 50.75912630000001)"
"tongre-notre-dame, belgium",2,"(3.7755504, 50.5814329)"
"thulin, belgium",2,"(3.7391863, 50.4290487)"
"thisnes, belgium",2,"(5.04677, 50.6658)"
"beclers, belgium",2,"(3.5046928, 50.6209471)"
"templeuve, belgium",2,"(3.283159, 50.64480709999999)"
"taintignies, belgium",2,"(3.3403627, 50.5467427)"
"stambruges, belgium",2,"(3.7172081, 50.5085894)"
"sombreffe, belgium",2,"(4.6110213, 50.5251141)"
"blaugies, belgium",2,"(3.8058371, 50.372016)"
"bois-d'haine, belgium",2,"(4.22108, 50.50407)"
"silly, belgium",2,"(3.9241434, 50.6493708)"
"sars-la-buissiere, belgium",2,"(4.209800599999999, 50.3397381)"
"saint-lèger, belgium",2,"(5.6568739, 49.6121528)"
"bouverie, belgium",2,"(3.8777386, 50.40226430000001)"
"naast, belgium",2,"(4.0991332, 50.5543555)"
"cognelèe, belgium",2,"(4.907071200000001, 50.5148464)"
"ham-sur-heure, belgium",2,"(4.3880774, 50.32212029999999)"
"hennuyëres, belgium",2,"(4.1696, 50.63843)"
"hantes-wiheries, belgium",2,"(4.1778621, 50.3053426)"
"fauroeulx, belgium",2,"(4.110399999999999, 50.37022)"
"fayt-lez-manage, belgium",2,"(4.226367499999999, 50.4907605)"
"leval-trahegnies, belgium",2,"(4.21766, 50.41652999999999)"
"hensies, belgium",2,"(3.6846851, 50.4323245)"
"fontenoy, belgium",2,"(3.4736321, 50.567749)"
"leers-et-fosteau, belgium",2,"(4.2457958, 50.3044451)"
"leernes, belgium",2,"(4.33217, 50.39821)"
"lambusart, belgium",2,"(4.553319999999999, 50.45453)"
"morlanwelz-mariemont, belgium",2,"(4.2425225, 50.4551692)"
"fourbechies, belgium",2,"(4.3107812, 50.16368809999999)"
"gouy-lez-pieton, belgium",2,"(4.3342955, 50.4908073)"
"jemeppe-sur-meuse, belgium",2,"(5.4951966, 50.6175969)"
"amougies, belgium",2,"(3.5068355, 50.74428)"
"fra-fresnes-sur-escaut, belgium",2,"(3.578965, 50.433359)"
"fra-saint-saulve, belgium",2,"(3.554938, 50.370729)"
"grandglise, belgium",2,"(3.694239199999999, 50.505325)"
"graty, belgium",2,"(3.9960425, 50.6319712)"
"loverval, belgium",2,"(4.4737, 50.3747)"
"luingne, belgium",2,"(3.2337149, 50.738441)"
"mainvault, belgium",2,"(3.7168499, 50.6490683)"
"gaurain-ramecroix, belgium",2,"(3.4892888, 50.5938686)"
"montroeul-sur-haine, belgium",2,"(3.7039398, 50.43552469999999)"
"dergneau, belgium",2,"(3.5689855, 50.7132742)"
"montignies-saint-christophe, belgium",2,"(4.1914995, 50.282205)"
"gelbressee, belgium",2,"(4.956100999999999, 50.5055017)"
"momignies, belgium",2,"(4.1601276, 50.0271204)"
"moignelee, belgium",2,"(4.58455, 50.44542)"
"enghien, belgium",2,"(4.0395343, 50.6935797)"
"milmort, belgium",2,"(5.5922106, 50.6903579)"
"mignault, belgium",2,"(4.15313, 50.528)"
"meslin-l'eveque, belgium",2,"(3.8474277, 50.649351)"
"gonrieux, belgium",2,"(4.4262251, 50.0361913)"
"maulde, belgium",2,"(3.5480139, 50.6165291)"
"masnuy-saint-jean, belgium",2,"(3.9451238, 50.5310497)"
"erquennes, belgium",2,"(3.79349, 50.35941)"
"marche-lez-ecaussinnes, belgium",2,"(4.181900199999999, 50.54692430000001)"
"estaimpuis, belgium",2,"(3.2707923, 50.6875048)"
"hacquegnies, belgium",2,"(3.5935257, 50.6513567)"
"moulbaix, belgium",1,"(3.7157035, 50.6015858)"
"fra-thivencelle, belgium",1,"(3.634798, 50.43956)"
"fra-vieux-conde, belgium",1,"(3.568612, 50.458671)"
"fra-wasquehal, belgium",1,"(3.130782, 50.669276)"
"aulnois, belgium",1,"(3.902, 50.34048)"
"namur, belgium",1,"(4.865072899999999, 50.4649359)"
"mont-sainte-aldegonde, belgium",1,"(4.233449999999999, 50.43056)"
"peronnes-lez-antoing, belgium",1,"(3.4541886, 50.5503284)"
"peronnes-lez-binche, belgium",1,"(4.14874, 50.43722)"
"merbes-le-chateau, belgium",1,"(4.1647872, 50.3243307)"
"roucourt, belgium",1,"(3.5871404, 50.5291691)"
"brugelette, belgium",1,"(3.8545171, 50.5993089)"
"leugnies, belgium",1,"(4.1975122, 50.2230128)"
"strepy-bracquegnies, belgium",1,"(4.120000000000001, 50.48055)"
"fra-quievrechain, belgium",1,"(3.669777, 50.395416)"
"bassilly, belgium",1,"(3.9336848, 50.6767826)"
"herinnes-lez-pecq, belgium",1,"(3.3633472, 50.701341)"
"wijtschate, belgium",1,"(2.8831131, 50.7858578)"
