new_municipality,cardiac_arrests_number,points_coordinates
"vosselaar, belgium",4,"(4.8882048, 51.3130992)"
"breendonk, belgium",4,"(4.322039999999999, 51.04309)"
"borsbeek, belgium",4,"(4.4791807, 51.19469429999999)"
"gierle, belgium",4,"(4.8677063, 51.2671512)"
"vlimmeren, belgium",4,"(4.782045399999999, 51.2971394)"
"lippelo, belgium",4,"(4.2586, 51.04215)"
"wechelderzande, belgium",4,"(4.7999275, 51.26453559999999)"
"gooreind, belgium",4,"(4.54631, 51.3566)"
"baarle-hertog, belgium",4,"(4.9318189, 51.4415736)"
"oelegem, belgium",4,"(4.599714899999999, 51.2129972)"
"hove, belgium",4,"(4.4707058, 51.1539096)"
"houthalen, belgium",4,"(5.376354099999999, 51.03146270000001)"
"zichen-zussen-bolder, belgium",4,"(5.6245555, 50.7933496)"
"pulle, belgium",3,"(4.7137397, 51.2032977)"
"broechem, belgium",3,"(4.6020124, 51.1813334)"
"westmeerbeek, belgium",3,"(4.8351, 51.06032)"
"borgloon, belgium",2,"(5.3405024, 50.8032367)"
"weelde, belgium",2,"(4.9908357, 51.406763)"
"lummen, belgium",2,"(5.1951475, 50.9876997)"
"as, belgium",2,"(5.5884303, 51.0070217)"
"blaasveld, belgium",2,"(4.37719, 51.05583000000001)"
"waarloos, belgium",2,"(4.454695900000001, 51.105061)"
"vreren, belgium",2,"(5.4974649, 50.7515842)"
"vremde, belgium",2,"(4.52311, 51.17486)"
"aalst, belgium",2,"(4.0424216, 50.9407315)"
"wiekevorst, belgium",2,"(4.794491499999999, 51.10914)"
"mariekerke, belgium",2,"(4.192341799999999, 51.0634883)"
"aard, belgium",2,"(4.469936, 50.503887)"
"zolder, belgium",2,"(5.3097324, 51.0229535)"
"veerle, belgium",2,"(4.987210000000001, 51.06994)"
"zandvliet, belgium",2,"(4.30716, 51.35964999999999)"
"leest, belgium",2,"(4.4176682, 51.0328978)"
"tongeren, belgium",2,"(5.4601943, 50.7799815)"
"reet, belgium",2,"(4.4125882, 51.10113339999999)"
"koersel, belgium",2,"(5.27176, 51.05844)"
"meeuwen, belgium",2,"(5.5205, 51.09867)"
"olmen, belgium",2,"(5.15072, 51.1420912)"
"oostham, belgium",2,"(5.18022, 51.10373)"
"hombeek, belgium",2,"(4.442769699999999, 51.014356)"
"opglabbeek, belgium",2,"(5.58412, 51.04316)"
"hoeselt, belgium",2,"(5.4899231, 50.8485788)"
"poederlee, belgium",2,"(4.8353147, 51.2263125)"
"liezele, belgium",2,"(4.28023, 51.06082)"
"heultje, belgium",2,"(4.83648, 51.08699)"
"herk-de-stad, belgium",2,"(5.1672236, 50.9392785)"
"ramsel, belgium",2,"(4.8328, 51.03211)"
"heindonk, belgium",2,"(4.40756, 51.0673)"
"tisselt, belgium",2,"(4.35717, 51.03437)"
"hallaar, belgium",2,"(4.73293, 51.08464)"
"grootlo, belgium",2,"(4.71005, 51.01411)"
"gestel, belgium",2,"(4.67316, 51.12840000000001)"
"emblem, belgium",2,"(4.605068, 51.16204130000001)"
"sint-amands, belgium",2,"(4.2050401, 51.054855)"
"koningshooikt, belgium",2,"(4.61011, 51.09522)"
"sint-lenaarts, belgium",2,"(4.677029999999999, 51.34869)"
"sint-truiden, belgium",2,"(5.1819977, 50.818835)"
"diepenbeek, belgium",2,"(5.4197659, 50.9088864)"
"lille, belgium",1,"(4.823159599999999, 51.2418705)"
"eksel, belgium",1,"(5.394354499999999, 51.1546138)"
