new_municipality,AED_number,points_coordinates
"sint-margriete-houtem, belgium",1,"(4.95539, 50.82836)"
"averbode, belgium",1,"(4.977454, 51.0305467)"
"melsbroek, belgium",1,"(4.4787175, 50.91535)"
"goetsenhoven, belgium",1,"(4.95114, 50.76781)"
"gelrode, belgium",1,"(4.80272, 50.96548)"
"gaasbeek, belgium",1,"(4.18893, 50.79987)"
"webbekom, belgium",1,"(5.0720072, 50.9722766)"
"essene, belgium",1,"(4.1364265, 50.90157430000001)"
"erps-kwerps, belgium",1,"(4.5607782, 50.9006097)"
"eppegem, belgium",1,"(4.4544329, 50.9621231)"
"duisburg, belgium",1,"(4.55184, 50.81569)"
"winksele, belgium",1,"(4.6435179, 50.89746659999999)"
"diegem-lo, belgium",1,"(4.455017199999999, 50.8946265)"
"cargovil, belgium",1,"(4.427268, 50.947259)"
"buizingen, belgium",1,"(4.2500475, 50.741419)"
"vaalbeek, belgium",1,"(4.68938, 50.82553)"
"sint-katelijne-waver, belgium",1,"(4.5314072, 51.0703915)"
"oorbeek, belgium",1,"(4.892399999999999, 50.79811)"
"baal, belgium",1,"(4.7504751, 50.9997177)"
"outgaarden, belgium",1,"(4.91793, 50.76521)"
"lembeek, belgium",1,"(4.220043599999999, 50.7140616)"
"ottenburg, belgium",1,"(4.61579, 50.75199)"
"linter, belgium",1,"(5.0534092, 50.84714839999999)"
"oplinter, belgium",1,"(4.98757, 50.82923)"
"onze-lieve-vrouw-lombeek, belgium",1,"(4.1101502, 50.8197588)"
"korbeek-lo, belgium",1,"(4.7626896, 50.8601903)"
"oetingen, belgium",1,"(4.06312, 50.77347)"
"nijverseel, belgium",1,"(4.1548175, 50.9643409)"
"meerbeek, belgium",1,"(4.5892898, 50.88186409999999)"
"neerijse, belgium",1,"(4.62345, 50.81742999999999)"
"neder-over-heembeek, belgium",1,"(4.3880767, 50.8953309)"
"mollem, belgium",1,"(4.22636, 50.9313)"
"leefdaal, belgium",1,"(4.5939, 50.84866)"
"perk, belgium",1,"(4.49592, 50.93488)"
"sint-joris-winge, belgium",1,"(4.876839599999999, 50.9077298)"
"sint-joris-weert, belgium",1,"(4.652875499999999, 50.8027501)"
"sint-agatha-rode, belgium",1,"(4.63408, 50.78559)"
"schiplaken, belgium",1,"(4.53072, 50.98056)"
"scherpenheuvel, belgium",1,"(4.9753403, 50.980084)"
"schepdaal, belgium",1,"(4.1958272, 50.8383485)"
"ruisbroek, belgium",1,"(4.33107, 51.08799)"
"kobbegem, belgium",1,"(4.25104, 50.90862)"
"kaggevinne, belgium",1,"(5.01896, 50.97937)"
"kester, belgium",1,"(4.11935, 50.76428)"
"relegem, belgium",1,"(4.277019999999999, 50.89908)"
"ramsdonk, belgium",1,"(4.33519, 51.01483)"
"puurs-sint-amands, belgium",1,"(4.2783654, 51.07097350000001)"
"meldert, belgium",1,"(5.1418, 50.99867)"
