new_municipality,AED_number,points_coordinates
"bottelare, belgium",1,"(3.7537909, 50.9631988)"
"watervliet, belgium",1,"(3.6270198, 51.2765175)"
"bevere, belgium",1,"(3.587545099999999, 50.85236949999999)"
"ursel, belgium",1,"(3.4856153, 51.1294092)"
"velzeke, belgium",1,"(3.78068, 50.88476)"
"velzeke-ruddershove, belgium",1,"(3.7808616, 50.88564419999999)"
"baasrode, belgium",1,"(4.1577249, 51.0378102)"
"vrasene, belgium",1,"(4.1944794, 51.2193961)"
"vurste, belgium",1,"(3.6843031, 50.9490931)"
"wieze, belgium",1,"(4.0836695, 50.9786176)"
"bazel, belgium",1,"(4.2983585, 51.147512)"
"westrem, belgium",1,"(3.8613947, 50.96975699999999)"
"bellem, belgium",1,"(3.4906454, 51.0884355)"
"deurle, belgium",1,"(3.6043494, 51.0092272)"
"serskamp, belgium",1,"(3.922124699999999, 50.99082)"
"semmerzake, belgium",1,"(3.6647202, 50.9430929)"
"meerdonk, belgium",1,"(4.145993, 51.2607213)"
"gent-zeehaven, belgium",1,"(3.7498191, 51.106388)"
"machelen zulte, belgium",1,"(3.4880452, 50.958822)"
"lovendegem, belgium",1,"(3.6059674, 51.0953575)"
"gijzegem, belgium",1,"(4.051057999999999, 50.9837657)"
"grimminge, belgium",1,"(3.9441263, 50.7938805)"
"letterhoutem, belgium",1,"(3.8820403, 50.92638909999999)"
"heldergem, belgium",1,"(3.960628, 50.8749786)"
"kruisem, belgium",1,"(3.5281422, 50.9045204)"
"horebeke, belgium",1,"(3.6873757, 50.8375329)"
"kerksken, belgium",1,"(3.9920928, 50.8902903)"
"melsen, belgium",1,"(3.6940645, 50.95631909999999)"
"mendonk, belgium",1,"(3.8193015, 51.1447934)"
"oosteeklo, belgium",1,"(3.6883778, 51.1920171)"
"schoonaarde, belgium",1,"(4.0151259, 51.0035338)"
"rupelmonde, belgium",1,"(4.2903448, 51.1274074)"
"outer, belgium",1,"(3.9957303, 50.8389186)"
"iddergem, belgium",1,"(4.0487529, 50.8745041)"
"oudegem, belgium",1,"(4.0612485, 51.0091316)"
"oostkamp, belgium",1,"(3.2355133, 51.1545918)"
"olsene, belgium",1,"(3.4657328, 50.9362129)"
"mere, belgium",1,"(3.968053, 50.9224188)"
"elsegem, belgium",1,"(3.5353615, 50.8245725)"
"nevele, belgium",1,"(3.5474483, 51.0343323)"
"elversele, belgium",1,"(4.1433446, 51.1145439)"
"munkzwalm, belgium",1,"(3.7330622, 50.8778017)"
"moerbeke-waas, belgium",1,"(3.9407302, 51.17429809999999)"
"erpe, belgium",1,"(3.990094699999999, 50.9445573)"
