new_municipality,AED_number,points_coordinates
"frasnes, belgium",1,"(3.619494, 50.6667771)"
"nismes, belgium",1,"(4.5483364, 50.0748018)"
"dourbes, belgium",1,"(4.5919434, 50.0916165)"
"durnal, belgium",1,"(4.986619999999999, 50.33629999999999)"
"acoz, belgium",1,"(4.53391, 50.35858)"
"houyet, belgium",1,"(5.0073202, 50.185947)"
"hingeon, belgium",1,"(5.00687, 50.52545)"
"heer, belgium",1,"(4.832079999999999, 50.16347)"
"havelange, belgium",1,"(5.2381899, 50.3895393)"
"hastière-lavaux, belgium",1,"(4.824549999999999, 50.2183)"
"emptinne, belgium",1,"(5.123089999999999, 50.32543)"
"ermeton sur biert, belgium",1,"(4.71906, 50.29689)"
"ernage, belgium",1,"(4.6719178, 50.5923601)"
"ham-sur-sambre, belgium",1,"(4.6735065, 50.4426813)"
"graide, belgium",1,"(5.0661187, 49.951486)"
"gougnies, belgium",1,"(4.57528, 50.3552)"
"gonrieux, belgium",1,"(4.4262251, 50.0361913)"
"fraire, belgium",1,"(4.5084637, 50.25967869999999)"
"landenne, belgium",1,"(5.0669512, 50.5149815)"
"lavaux-sainte-anne, belgium",1,"(5.09357, 50.11481999999999)"
"le, belgium",1,"(2.4896888, 48.92681630000001)"
"cornimont, belgium",1,"(4.9983726, 49.8622424)"
"bonneville, belgium",1,"(5.0369958, 50.4719693)"
"chastre, belgium",1,"(4.6372258, 50.6083574)"
"moustier-sur-sambre, belgium",1,"(4.6944478, 50.4568755)"
"ciergnon, belgium",1,"(5.0881633, 50.167647)"
"morialmé, belgium",1,"(4.56593, 50.27498)"
"cognelée, belgium",1,"(4.907071200000001, 50.5148464)"
"mariembourg, belgium",1,"(4.5218479, 50.0947687)"
"le roux, belgium",1,"(4.62398, 50.389)"
"courrière, belgium",1,"(4.98532, 50.37994)"
"maillen, belgium",1,"(4.9707476, 50.377213)"
"lonzée, belgium",1,"(4.72637, 50.55299)"
"lives-sur-meuse, belgium",1,"(4.9241044, 50.4654959)"
"daussoulx, belgium",1,"(4.8886216, 50.5181967)"
"denée, belgium",1,"(4.75223, 50.31862)"
"lesve, belgium",1,"(4.777909999999999, 50.37686)"
"bolinne, belgium",1,"(4.929399999999999, 50.60082999999999)"
